Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
beta-estradiol, ,chemical - endogenous mammalian, ,1.086,3.06E-08,"ACP5,ADAMTS4,ADRB1,ALCAM,ARL4A,ASCL1,BCYRN1,CABP7,CAPS,CAV1,CDH15,CDKN1A,CHI3L1,CLDN4,CNR1,CPM,CYP1A1,DCN,DHRS2,DLL1,EPAS1,FBLN1,FOSB,GADD45G,GALR1,GDF15,GHR,GPR139,H19,H2BC21,HSPB8,IFI30,IGF2,KRT18,LIF,MAP2K6,MYOF,NOS2,NRP1,OAS1,OXTR,PDGFB,PLAAT4,PLAUR,PLK2,PLXDC1,PPARGC1A,PPL,PTGDS,PTGES,SERPINA3,SFRP2,SHC1,SPOCK2,SSTR2,SYNPO,TFAP2C,THBS1,TNFRSF1B,VWF",145 (18)
tretinoin, ,chemical - endogenous mammalian,Activated,3.846,3.31E-08,"ALDH3A1,ARHGAP29,ASCL1,C5AR1,CA8,CDH5,CDKN1A,CNR1,CRABP1,CYP1A1,DCN,DCX,DLL1,ELN,GDF15,GHR,GRIK2,IFI44L,IFIT1,IFIT2,IGF2,ITGAX,KRT18,LRRK2,MFNG,NOS2,NRP1,OAS1,OAS3,OLIG1,OLIG2,PDGFB,PLAAT4,PLAUR,PLK2,PLP1,PPARGC1A,PTGDS,PTGES,PTHLH,RLBP1,SLCO2A1,SPP1,SYNPO,THBS1,TNFAIP2,TNFRSF1B,VGLL3,VWF,ZNF436",139 (17)
cycloheximide, ,chemical reagent, ,-0.605,5.62E-08,"ADRB1,CAV1,CD8A,CDKN1A,CYP1A1,DHRS2,FOSB,GADD45G,IFIT1,IGF2,MYLK3,NOS2,PDGFB,PERP,PLAUR,PTGDS,PTHLH,SHBG,SPP1,THBS1,TNFAIP2",141 (21)
cigarette smoke, ,chemical toxicant,Activated,2.889,8.57E-08,"ALDH3A1,CDKN1A,CYP1A1,ELN,EPAS1,GADD45G,H19,HAS3,IRAK2,LTB4R2,MAP2K6,NOS2,OAS1,OAS3,PDGFB,PTGES,SERPINA3",135 (21)
SS18,-0.165,transcription regulator, ,0.378,0.000000465,"CABP7,DLL1,FAM43A,IGF2,PDGFB,SLC16A3,TENT5C", 
glucocorticoid, ,chemical drug, ,0.012,0.000000771,"ADRB1,ALDH3A1,CDKN1A,CNR1,FBLN1,GRIK2,INPP5D,KCNJ11,NOD2,NOS2,OAS1,PPARGC1A,PTHLH,SERPINA3,SHBG,SPP1,TDO2",131 (26)
ESR1, ,ligand-dependent nuclear receptor, ,-0.981,0.00000119,"ABCA4,ABCC3,ALCAM,CABP7,CARD14,CAV1,CDKN1A,CENPE,CLDN4,CPLX1,CPM,CYP1A1,DLL1,ELN,FBLN1,FOSB,GDF15,GHR,GPR37,H19,ICOSLG/LOC102723996,IFI44L,IGF2,IRAK2,MAP2K6,MR1,NLGN1,NOS2,OXTR,PAK6,PLAUR,PLXDC1,PPARGC1A,PTGDS,RDH5,SLC16A3,SLC2A12,SPP1,SYNPO,TDO2,TFAP2C,TNFAIP2",128 (18)
Interferon alpha, ,group,Activated,2.673,0.00000123,"APOBEC3B,APOL3,BST2,CABP7,CD8A,CDKN1A,IFI44L,IFIT1,IFIT2,LIF,NOS2,NT5E,OAS1,OAS3,PARP10,PARVG,PLAAT4,PTGES,PTHLH,TBX21,TRANK1",70 (10)
FGF2,-0.072,growth factor, ,0.648,0.00000149,"ASCL1,CAV1,CCN4,CDKN1A,DCN,DLL1,EDNRB,ELN,EPAS1,IGF2,NOS2,OLIG2,PDGFB,PLAUR,PLK2,PLXDC1,SHBG,SPP1,THBS1,VWF",117 (21)
HES1,-0.049,transcription regulator, ,0.106,0.00000163,"ASCL1,CDKN1A,DLK1,DLL1,DLL3,PTGDS,RLBP1,SPP1",31 (5)
2-acetylaminofluorene, ,chemical toxicant, ,0.391,0.0000017,"ABCC3,CDKN1A,CYP1A1,DLK1,DLL1",72 (7)
TGFB1,0.274,growth factor, ,1.309,0.00000186,"ADAMTS4,ADGRA1,AMOTL2,ARL4A,C5AR1,CAV1,CCN4,CDH5,CDKN1A,CENPE,CHI3L1,CLDN4,DCN,DLL3,EDNRB,ELN,FOSB,GDF15,HAS3,HRH2,IFI30,IGF2,INPP5D,IRAK2,ITGAX,KRT18,LIF,LPAR4,MEG3,MYOF,NOS2,NRP1,NT5E,OPN3,PDGFB,PLAUR,PLK2,PPARGC1A,PTGDS,PTGES,PTHLH,SEMA4A,SERPINA3,SLC16A3,SPP1,SSTR2,TBX21,THBS1,VWF,XYLT1",107 (16)
decitabine, ,chemical drug,Activated,3.398,0.00000192,"ABCC3,AMOT,CAMSAP3,CAV1,CD8A,CDKN1A,CHI3L1,CYP1A1,GADD45G,GDF15,GPR37,H19,HSPB8,IFIT2,IPCEF1,KRT18,LY96,MEG3,NOS2,OAS1,PDGFB,PLK2,RASSF2,SHC1,SPP1,SSTR2,THBS1,TNFRSF10D,TUBA4A",137 (19)
ESR2, ,ligand-dependent nuclear receptor, ,1.888,0.00000276,"ARL4A,CABP7,CAV1,CDKN1A,CLDN4,CPM,FBLN1,HES5,MAP2K6,NOS2,PAK6,PDGFB,PERP,PLAUR,PLXDC1,PTGDS,RASSF2,SHC1,SPP1,SYNPO,TMEM189-UBE2V1,VWF",141 (22)
MAPK3,-0.153,kinase, ,0.563,0.00000277,"CDKN1A,FOSB,PDGFB,PLAUR,PPARGC1A,PTGES,RPE65,SPP1,THBS1",127 (21)
SP600125, ,chemical - kinase inhibitor,Inhibited,-2.067,0.00000358,"ADAMTS4,APOBEC3B,CDKN1A,CLDN4,CPM,CRYM,CYP1A1,FOSB,H2BC21,ITGB4,NOS2,PLK2,PTGDS,PTGES,SPP1,THBS1",114 (22)
TP73,0.997,transcription regulator, ,1.038,0.00000366,"ARHGAP22,CDKN1A,H2BC9,HSPB8,ITGAX,ITGB4,NRP1,PDGFB,PERP,PLK2,PPL,PTGES,PTPN3,SCRG1,SERPINA3,SPP1,THBS1,TNFAIP2,TNFRSF1B",103 (10)
TGFBR2, ,kinase,Activated,2.27,0.00000367,"C5AR1,CDKN1A,KRT18,MYOF,NOS2,NRP1,PDGFB,PTGDS,PTGES,PTHLH,SPP1,TBX21,THBS1",116 (18)
"1,1-bis(3'-indolyl)-1-(4-trifluoromethyl-phenyl)methane", ,chemical reagent, ,1.981,0.00000394,"CAV1,CDKN1A,GDF15,KRT18",71 (7)
U0126, ,chemical - kinase inhibitor, ,-1.835,0.00000435,"ADAMTS4,CAV1,CCN4,CD200,CDH5,CDKN1A,CLDN4,CYP1A1,DHRS2,EDNRB,FOSB,GDF15,LIF,NOS2,PLAUR,PLK2,PRELP,SMAGP,SPP1,SVIL,THBS1,TUBA4A",131 (22)
HRAS,-0.074,enzyme, ,0.901,0.00000454,"ALDH3A1,AMOTL2,ASCL1,CAV1,CDKN1A,CTSV,CYP1A1,DLL1,ELN,FOSB,GADD45G,HES5,IFI30,IGF2,ITGB4,KRT18,LTB4R2,NOS2,NRP1,PLAUR,PRXL2A,PTHLH,SERPINA3,SPP1,THBS1",133 (25)
MYD88,-0.222,other,Activated,2.15,0.00000525,"APOBEC3B,CCN4,CD200,EDNRB,GDF15,IFIT2,INPP5D,ITGAX,LTB4R2,NOD2,NOS2,PTGES,SLC16A3,SPP1,TBX21",138 (21)
TP53,0.118,transcription regulator, ,1.112,0.00000655,"ADAMTSL4,ADGRB3,AMOTL2,CAV1,CDKN1A,CENPE,COL9A1,CYP1A1,DMRT1,EPAS1,F11R,FAT2,GADD45G,GAL3ST4,GDF15,GLIPR1,H19,H4C15,IFI30,IGF2,ITGB4,KRT18,LIF,MAP2K6,MYLK3,MYOF,NOS2,NRP1,OAS1,PACSIN1,PDGFB,PERP,PLAAT4,PLAUR,PLK2,PPARGC1A,PRRX2,PTGDS,RASSF2,SERPINA3,SFRP2,SHC1,SLC2A12,SPP1,TDO2,THBS1,TNFAIP2,TNFRSF10D,TNFRSF1B,VWCE",128 (19)
PRL, ,cytokine, ,0.096,0.0000081,"BST2,CAV1,CDKN1A,CTSV,DCN,IFI44L,IFIT1,IGF2,NOS2,OAS1,OAS3,PARP10,SERPINA3,SFRP2,SPP1",117 (18)
PRDM16,-1.051,transcription regulator, ,-0.651,0.00000812,"CDKN1A,DCN,GADD45G,IFIT2,OAS3,PPARGC1A",104 (11)
SOX2,-0.341,transcription regulator, ,-1.674,0.00000846,"ABCC3,ADAMTS4,AMOT,ASCL1,CCN4,CDKN1A,DLL1,FRZB,H19,HES5,KRT18,LRRC4,NRP1,OLIG1,OLIG2,PCDH15,PLP1,PPL,SNX22,TNR", 
resiquimod, ,chemical drug, ,1.498,0.00000881,"APOBEC3B,APOL3,BST2,GDF15,IFI44L,IFIT1,IFIT2,IRAK2,ITGAX,LIF,NOS2,OAS1,OAS3,SPP1,TBX21",73 (11)
IL6, ,cytokine, ,1.585,0.0000107,"ABCC3,ADAMTS4,BST2,C5AR1,CDKN1A,CENPE,CYP1A1,DCN,GADD45G,ICOSLG/LOC102723996,IFIT1,IFIT2,IGF2,KRT18,LIF,LY96,NOS2,OXTR,PDGFB,PLK2,PTGES,SEMA4A,SERPINA3,SPP1,TBX21,THBS1,TNFRSF1B",135 (18)
SERPINF1,0.355,other, ,-0.346,0.0000115,"CDH5,NOS2,OLIG1,OLIG2,PPARGC1A,RLBP1,THBS1", 
WNT3A, ,cytokine, ,1.472,0.0000118,"ADAMTS4,ALPK2,CCN4,DCN,DLK1,EPAS1,GADD45G,HAS3,NOS2,OLIG1,PMP2,SFRP2,SSTR2,THBS1,TNXB",79 (7)
MAPK14,-0.025,kinase, ,0.321,0.0000122,"ACP5,DLL1,IGF2,MAP2K6,NOS2,NRP1,PLAUR,PPARGC1A,PTGES,SHC1,SPP1,TBX21",126 (18)
IFNB1, ,cytokine, ,1.626,0.0000127,"APOL3,BST2,CDKN1A,CYP1A1,DLL1,ICOSLG/LOC102723996,IFIT1,IFIT2,ITGAX,NOD2,NOS2,OAS1,PLAAT4,SPP1,THBS1",85 (14)
FGFR2,0.194,kinase, ,-0.146,0.000013,"AMOT,CCN4,CDKN1A,DLL1,GLIPR1,IGF2,PLAUR,PLP1,PTHLH,SPP1",107 (12)
PDGF BB, ,complex,Activated,2.316,0.0000139,"ASCL1,CDKN1A,DCN,EDNRB,FOSB,FRZB,GDF15,GHR,H19,IGF2,LIF,NOS2,PLK2,PRRX2,SERPINA3,THBS1",121 (19)
APP,-0.237,other,Activated,2.386,0.0000155,"ADAMTS4,ASCL1,CDH5,CPLX1,CPLX2,CRABP1,CRYM,CTSV,DCN,DCX,ELN,EPAS1,FOSB,GDF15,GHR,H19,IFIT2,IGF2,LIF,NOS2,NRP1,PACSIN1,PDGFB,PTGDS,RASSF2,RPGR,SCN1A,SHC1,TNFAIP2,TUBA4A",127 (21)
TGM2, ,enzyme,Activated,2.892,0.0000158,"C5AR1,IFIT1,IFIT2,ITGAX,ITGB4,LRRK2,OAS1,OAS3,PLAAT4,PTGES,SPP1,THBS1,TNFAIP2",92 (11)
TWIST1,0.522,transcription regulator, ,0.093,0.0000162,"ALCAM,CCN4,CDKN1A,CHI3L1,CLDN4,DCN,NT5E,PRRX2,SPOCK2,SPP1,TBX21", 
ibuprofen, ,chemical drug, ,-0.054,0.0000204,"DCN,EDNRB,EPAS1,GDF15,NOS2,SERPINA3",102 (15)
NEUROD4, ,transcription regulator, , ,0.0000241,"DLL1,DLL3,HES5", 
HIF1A,0.06,transcription regulator, ,-0.369,0.0000267,"CAV1,CDKN1A,EDNRB,EPAS1,GHR,H1-2,H2AC6,H4C15,IGF2,KIAA1217,KRT18,NOS2,NT5E,PDGFB,PLAUR,SLC16A3,THBS1,TNFAIP2",115 (18)
rosiglitazone, ,chemical drug, ,1.133,0.000028,"APOC1,APOL3,CAV1,CCN4,CDKN1A,CYP1A1,IFIT2,IGF2,KRT18,MR1,NOS2,OAS1,OAS3,PPARGC1A,PTGES,SHBG,SPON2,TBX21,THBS1",111 (19)
IFNA2, ,cytokine, ,1.75,0.0000295,"BST2,CAV1,CDKN1A,IFI44L,IFIT1,IFIT2,NT5E,OAS1,OAS3,PLAAT4,RIPOR2,TBX21,TNFRSF10D",102 (13)
RASSF1,-0.181,other, ,1.238,0.0000305,"AMIGO2,CAV1,CDKN1A,GDF15,GHR,LIF,PLK2,SPP1",129 (22)
caffeine, ,chemical drug, ,0.785,0.0000306,"ACP5,CAV1,CDKN1A,EPAS1,FOSB,PPARGC1A,THBS1",120 (23)
EZH2,-0.411,transcription regulator, ,0.058,0.0000317,"ADRB1,CACNA1E,CDKN1A,CNR1,CRISPLD2,EPAS1,FBLN1,FRZB,GDF15,ICOSLG/LOC102723996,KIAA1217,OXTR,PLAAT4,PTGES,SFRP2,SPOCK2,TBX21",38 (4)
ERK, ,group, ,1.355,0.0000335,"ACP5,CAV1,CDKN1A,CLDN4,CYP1A1,EPAS1,GDF15,HAS3,KRT18,LIF,PTGES,TBX21,THBS1",137 (23)
RELA,0.039,transcription regulator,Activated,2.623,0.000034,"ALCAM,CAV1,CDKN1A,CHI3L1,CYP1A1,ELN,EPAS1,FOSB,GDF15,KRT18,NOD2,NOS2,PDGFB,PTGDS,PTGES,SHBG,TBX21,TNFAIP2",134 (17)
tetradecanoylphorbol acetate, ,chemical drug,Activated,3.269,0.0000381,"ADAMTS4,AMIGO2,APOBEC3B,ASCL1,C5AR1,CA8,CAV1,CDKN1A,CTSV,CYP1A1,DMRT1,FOSB,GDF15,H19,HRH2,ICOSLG/LOC102723996,IGF2,ITGAX,LIF,NOS2,NRP1,OAS1,PLAUR,PTGDS,PTGES,PTHLH,SERPINA3,SFRP2,SPP1,SSTR2,SULT1A1,TBX21,THBS1,TNFRSF1B",146 (21)
GSK2816126, ,chemical drug, ,-0.816,0.0000395,"CD200,COL9A1,FRZB,IGF2,NOS2,SPP1", 
ASCL1,-1.131,transcription regulator, ,-1.827,0.0000419,"CDKN1A,DCX,DLL1,DLL3,GADD45G,GRIK2,HES5,MFNG", 
SOCS3,-0.131,phosphatase, ,-1.95,0.0000419,"CDKN1A,IFIT1,IFIT2,NOS2,OAS1,PPARGC1A,TBX21,TNFRSF1B",115 (18)
DMD,-0.246,other, , ,0.0000433,"CDKN1A,CNKSR1,DCX,H19,IGF2,KRT18,LIF,OPN3,PACSIN1,PPARGC1A,RIPOR2,SLC24A5",73 (7)
CSF2, ,cytokine, ,1.701,0.0000439,"ACP5,C5AR1,CD8A,CDKN1A,CENPE,ELN,GDF15,ICOSLG/LOC102723996,INPP5D,ITGAX,LY96,NOS2,NRP1,RIPOR2,SPP1,THBS1,TNFRSF10D,TNFRSF1B,ZNF25",136 (21)
E. coli serotype 0127B8 lipopolysaccharide, ,chemical - endogenous non-mammalian, ,1.554,0.0000445,"ADGRA1,CAV1,EDNRB,ELN,LIF,LPAR4,NOS2,OPN3,PDGFB,PTGES,SEMA4A",112 (21)
omeprazole, ,chemical drug, , ,0.0000446,"ABCC3,CDKN1A,CYP1A1,EPAS1,NOS2,PRRX2", 
thioacetamide, ,chemical toxicant,Activated,2.401,0.0000448,"ACP5,CD200,CLDN4,CYP1A1,EDNRB,EHD3,ELN,ITGB4,NLGN1,PDGFB,PRELP,SPP1,TMEM173", 
SMAD3,0.366,transcription regulator, ,1.046,0.0000526,"CDH5,CDKN1A,CRISPLD2,ELN,INPP5D,NOS2,PDGFB,PPARGC1A,PTHLH,SPP1,SSTR2,TBX21,THBS1",112 (17)
EGF,0.664,growth factor, ,1.013,0.0000538,"ALCAM,CAV1,CDKN1A,CYP1A1,DCN,EPAS1,FOSB,GDF15,HAS3,IGF2,NOS2,NRP1,PLAUR,PLXDC1,PTGES,PTHLH,SERPINA3,SHC1,SPP1,THBS1",140 (20)
progesterone, ,chemical - endogenous mammalian,Activated,2.448,0.0000559,"ACP5,ARL4A,C5AR1,CAV1,CDKN1A,CLDN4,CNR1,CTSV,CYP1A1,EPAS1,GALR1,GHR,H19,LIF,NOS2,NRP1,PLK2,PTGDS,RASSF2,SPP1,TDO2,TNXB",117 (16)
topotecan, ,chemical drug,Activated,2.008,0.0000568,"CD200,CDKN1A,FOSB,GDF15,GRIK2,KIAA0040,NLGN1,NOS2,PARD3B,PCDH15,PLK2", 
RELB,0.371,transcription regulator, ,1.4,0.0000704,"CDKN1A,CHI3L1,ICOSLG/LOC102723996,NOS2,OLIG2,TBX21,TNFAIP2",75 (9)
cardiotoxin, ,chemical - other, ,0.707,0.0000717,"C5AR1,CTSV,EDNRB,H19,IGF2,NOS2,PDGFB,SFRP2,SPP1,TNFRSF1B", 
NOTCH1,-0.105,transcription regulator, ,-0.217,0.0000776,"ASCL1,CDKN1A,DLK1,DLL1,EPAS1,FOSB,HES5,ITGB4,NOS2,PDGFB,PTGDS,RLBP1,SPP1",102 (20)
bleomycin, ,chemical drug, ,1.094,0.0000788,"CCN4,CDKN1A,DCN,ELN,FRZB,NOS2,PPARGC1A,SFRP2,SPP1,THBS1,VWF",129 (20)
VCAN,-0.319,other, ,0.817,0.0000795,"CDKN1A,CRISPLD2,DCN,ELN,HAS3,IFI44L,IFIT1,IFIT2,OAS3,PRELP", 
EHMT1,-0.006,transcription regulator, ,1.134,0.0000805,"ARX,CAPS,CDKN1A,HPD,PPL,SDSL,SH3TC1,VSTM2L", 
ITGB1BP1,0.105,other, , ,0.0000827,"CDKN1A,DLL1,HES5",56 (7)
MAPK9,-0.178,kinase, ,1.91,0.0000837,"CAV1,CDKN1A,CYP1A1,DLK1,EPAS1,ITGB4,LIF,NOS2,PTGES,TBX21",121 (22)
"8-(4-chlorophenylthio)-guanosine-3', 5'-cyclic monophosphate", ,chemical reagent, ,1.091,0.0000869,"CDKN1A,NOS2,PPARGC1A,PRDM16",76 (10)
choline, ,chemical - endogenous mammalian, ,-0.447,0.0000889,"CDKN1A,ELN,IGF2,OXTR,SPP1",82 (9)
NGLY1,-0.363,enzyme, ,-1.412,0.000103,"IFI44L,IFIT1,IFIT2,OAS1,OAS3", 
halofuginone, ,chemical drug, , ,0.000107,"ACP5,CD200,EDNRB,EHD3,ELN,H19,NLGN1,PRELP,SPP1", 
IGF2,-1.302,growth factor,Activated,2.579,0.000113,"ARL4A,CDKN1A,CTSV,GHR,H19,IGF2,NOS2,PDGFB,PRDM16,SPP1",126 (20)
actinomycin D, ,biologic drug, ,-1.321,0.000114,"CAV1,CDKN1A,CYP1A1,DMRT1,EPAS1,NOS2,PERP,PLAUR,PTHLH,SPP1,TNFAIP2,TNFRSF1B",127 (21)
"8-bromoguanosine 3',5'-cyclic monophosphate", ,chemical - kinase inhibitor,Activated,2.233,0.000118,"CAV1,CD8A,CDKN1A,NOS2,PLAUR",119 (21)
estrogen receptor, ,group, ,1.508,0.000118,"CAV1,CDH15,CDH5,CLDN4,CNKSR1,CYP1A1,F11R,KRT18,NT5E,OXTR,PLAUR,SYNPO",131 (14)
ITGB1,-0.052,transmembrane receptor, ,-0.277,0.00012,"CCN4,CDKN1A,HAS3,IGF2,ITGB4,NOS2,PLAUR,THBS1,TNXB",118 (22)
DES,0.783,other, , ,0.000131,"DCN,KRT18,SPP1",75 (7)
tamoxifen, ,chemical drug, ,0.216,0.000134,"CAV1,CDKN1A,DLK1,GDF15,H19,IGF2,LIF,NOS2,OXTR,SERPINA3,SHC1,SPP1,SSTR2,TDO2",131 (20)
thalidomide, ,chemical drug, ,0.659,0.000153,"CAV1,GDF15,NRP1,PDGFB,PLAUR",135 (20)
STAT1,0.117,transcription regulator,Activated,2.38,0.000154,"APOBEC3B,BST2,CDKN1A,IFI30,IFI44L,IFIT1,IFIT2,ITGAX,LY96,NOS2,OAS1,OAS3,SERPINA3,SMAGP,TBX21",127 (20)
poly rI:rC-RNA, ,biologic drug,Activated,2.857,0.000157,"APOL3,BST2,CD200,DLL1,ERFE,GDF15,IFIT1,IFIT2,IGSF9B,IRAK2,ITGAX,LIF,NOS2,OAS1,OAS3,PLAAT4,PLAUR,THBS1,TNFAIP2",75 (13)
TGFB3,0.407,growth factor, ,1.247,0.000164,"CDKN1A,ELN,FOSB,PLAUR,PPARGC1A,PTHLH,THBS1,TNS1",116 (23)
SRA1,-0.078,transcription regulator, ,1.067,0.000165,"CAV1,PRDM16,SLC2A12,THBS1", 
IFNL1, ,cytokine, ,1.882,0.000168,"BST2,IFI44L,IFIT1,IFIT2,OAS1,OAS3,PLAAT4",80 (8)
TFAP4,-0.147,transcription regulator,Inhibited,-2,0.000174,"CDKN1A,CLDN4,GDF15,LIF,RPE65", 
ERBB3,-0.199,kinase, ,-0.705,0.000174,"AMOTL2,CDKN1A,GHR,IGF2,SERPINA3,THBS1,TNS1,TNXB",108 (18)
SRC,0.236,kinase, ,-0.239,0.000174,"CAV1,CDKN1A,CTSV,CYP1A1,KRT18,PLAUR,SPP1,SYNPO",112 (16)
SHH, ,peptidase, ,-1.54,0.00018,"ASCL1,CAV1,HES5,IGF2,OLIG1,OLIG2,POU3F4,PTHLH,SFRP2,SPP1",66 (7)
GAB3,0.022,other, , ,0.000183,"IFIT1,OAS1",34 (4)
TYROBP, ,transmembrane receptor, , ,0.000191,"ITGAX,ITGB4,NOD2,RBM47,SPP1,TNFRSF1B",66 (4)
ZNF503, ,other, , ,0.000194,"KRT18,RLBP1,RPE65", 
ZNF503-AS1, ,other, , ,0.000194,"KRT18,RLBP1,RPE65", 
Tnf (family), ,group, ,-0.02,0.000203,"ABCC3,CLDN4,CYP1A1,GHR,NOS2,NT5E,PDGFB,SHBG,TNFRSF1B",94 (14)
OSM, ,cytokine,Activated,2.526,0.000222,"ABCC3,ADAMTS4,ARL4A,CDKN1A,CHI3L1,CLDN4,CPM,CTSV,FOSB,GADD45G,LIF,NOS2,OAS1,PTGES,SERPINA3,SLC16A3,SPP1,TDO2,TNFAIP2",128 (22)
IFNAR1,0.134,transmembrane receptor, ,0.528,0.000235,"DLL1,IFIT2,LIF,NOS2,OAS1,OAS3,RIPOR2,THBS1,TNFAIP2",108 (14)
